Company,Location,DateTime,Details,Outcome
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Sep 06, 1978 03:04 UTC",Molniya-M /Block 2BL | Cosmos 1030,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Aug 29, 1978 15:00 UTC",Soyuz U | Cosmos 1029,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Aug 22, 1978 23:47 UTC",Molniya-M /Block ML | Molniya-1 n†­76,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Aug 08, 1978 07:33 UTC",Atlas-SLV3D Centaur-D1AR | Pioneer Venus Multiprobe,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Sat Aug 05, 1978 15:00 UTC",Soyuz U | Cosmos 1028,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA","Sat Aug 05, 1978",Titan III(34)B Agena-D | Quasar 3,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Thu Jul 27, 1978 04:49 UTC",Cosmos-3M (11K65M) | Cosmos 1027,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Jul 14, 1978 15:00 UTC",Molniya-M /Block ML | Molniya-1 n†­75,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Jun 29, 1978 22:24 UTC",Atlas-SLV3D Centaur-D1AR | Comstar D3,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Wed Jun 28, 1978 17:35 UTC",Tsyklon-3 | Cosmos 1025,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Jun 28, 1978 02:58 UTC",Molniya-M /Block 2BL | Cosmos 1024,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Tue Jun 27, 1978 01:12 UTC",Atlas-E/F Agena D | Seasat,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Jun 21, 1978 09:27 UTC",Cosmos-3M (11K65M) | Cosmos 1023,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Wed Jun 14, 1978 18:28 UTC",Titan IIID | KH-11,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Jun 12, 1978 10:30 UTC",Soyuz U | Cosmos 1022,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Jun 10, 1978 19:08 UTC",Titan III(23)C | OPS-9454 (vortex),Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Jun 10, 1978 08:35 UTC",Soyuz U | Cosmos 1021,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Jun 07, 1978 22:00 UTC",Cosmos-3M (11K65M) | Cosmos 1013 to 1020,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Jun 02, 1978 12:12 UTC",Molniya-M /Block ML | Molniya-1 n†­74,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue May 23, 1978 16:57 UTC",Cosmos-3M (11K65M) | Cosmos 1011,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue May 23, 1978 07:30 UTC",Soyuz U | Cosmos 1010,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Sat May 20, 1978 13:13 UTC",Atlas-SLV3D Centaur-D1AR | Pioneer Venus Orbiter,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan","Fri May 19, 1978 00:21 UTC",Tsyklon-2 | Cosmos 1009,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed May 17, 1978 14:39 UTC",Cosmos-3M (11K65M) | Cosmos 1008,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue May 16, 1978 10:40 UTC",Soyuz U | Cosmos 1007,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","Sat May 13, 1978 10:34 UTC",Atlas-E/F SGS-1 | GPS-2,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri May 12, 1978 11:00 UTC",Cosmos-3M (11K65M) | Cosmos 1006,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri May 12, 1978 04:07 UTC",Vostok-2M | Cosmos 1005,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri May 05, 1978 15:30 UTC",Soyuz U | Cosmos 1004,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Apr 20, 1978 15:30 UTC",Soyuz U | Cosmos 1003,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Sat Apr 15, 1978 16:39 UTC",Feng Bao 1 | DDDS 2,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA","Fri Apr 07, 1978 00:45 UTC",Atlas-SLV3A Agena-D | OPS-8790 (Aquacade-4),Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 06, 1978 09:10 UTC",Soyuz U | Cosmos 1002,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Mar 31, 1978 23:36 UTC",Atlas-SLV3D Centaur-D1AR | Intelsat 4A F6,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Mar 31, 1978 14:01 UTC",Cosmos-3M (11K65M) | Cosmos 1000,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Mar 30, 1978 07:50 UTC",Soyuz U | Cosmos 999,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Mar 28, 1978 01:30 UTC",Cosmos-3M (11K65M) | Cosmos 996,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Mar 25, 1978 18:09 UTC",Titan III(23)C | DSCS-II 9&10,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Mar 17, 1978 10:50 UTC",Soyuz U | Cosmos 995,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Thu Mar 16, 1978 18:43 UTC",Titan IIID | KH-9 & SSF-D-2,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Wed Mar 15, 1978 15:57 UTC",Cosmos-3M (11K65M) | Cosmos 994,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Mar 10, 1978 10:42 UTC",Soyuz U | Cosmos 993,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 04, 1978 07:40 UTC",Soyuz U | Cosmos 992,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Mar 02, 1978 22:07 UTC",Molniya-M /Block ML | Molniya-1 n†­73,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Feb 28, 1978 06:43 UTC",Cosmos-3M (11K65M) | Cosmos 991,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA","Sat Feb 25, 1978 05:00 UTC",Titan III(34)B Agena-D | Jumpseat 5,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","Wed Feb 22, 1978 23:44 UTC",Atlas-E/F SGS-1 | GPS-1,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Fri Feb 17, 1978 16:33 UTC",Cosmos-3M (11K65M) | Cosmos 990,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Thu Feb 16, 1978 04:00 UTC",N-I | Ume 2,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Feb 14, 1978 09:30 UTC",Soyuz U | Cosmos 989,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Feb 09, 1978 21:17 UTC",Atlas-SLV3D Centaur-D1AR | FLTSATCOM-1,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Feb 08, 1978 12:15 UTC",Soyuz U | Cosmos 988,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan","Sat Feb 04, 1978 07:00 UTC",Mu-III H | Kyokko,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Jan 31, 1978 14:50 UTC",Soyuz U | Cosmos 987,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Thu Jan 26, 1978 04:58 UTC",Long March 2 | FSW-0 No.3,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Jan 24, 1978 09:50 UTC",Soyuz U | Cosmos 986,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Jan 24, 1978 06:51 UTC",Molniya-M /Block ML | Molniya-3 n†­72,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Jan 17, 1978 03:26 UTC",Cosmos-3M (11K65M) | Cosmos 985,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Jan 13, 1978 15:15 UTC",Soyuz U | Cosmos 984,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Jan 10, 1978 20:51 UTC",Cosmos-3M (11K65M) | Cosmos 976 to 983,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Jan 10, 1978 13:23 UTC",Vostok-2M | Cosmos 975,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sat Jan 07, 1978 00:15 UTC",Atlas-SLV3D Centaur-D1AR | Intelsat 4A F3,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Jan 06, 1978 15:50 UTC",Soyuz U | Cosmos 974,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Dec 27, 1977 09:20 UTC",Soyuz U | Cosmos 973,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Tue Dec 27, 1977 08:00 UTC",Tsyklon-3 | Cosmos 972,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Dec 23, 1977 16:24 UTC",Cosmos-3M (11K65M) | Cosmos 971,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Wed Dec 21, 1977 10:35 UTC",Tsyklon-2 | Cosmos 970,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Dec 20, 1977 15:50 UTC",Soyuz U | Cosmos 969,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Dec 16, 1977 04:25 UTC",Cosmos-3M (11K65M) | Cosmos 968,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Dec 14, 1977 09:30 UTC",Vostok-2M | Meteor-2 n†­3,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Dec 13, 1977 15:53 UTC",Cosmos-3M (11K65M) | Cosmos 967,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Dec 12, 1977 09:40 UTC",Soyuz U | Cosmos 966,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA","Sun Dec 11, 1977 22:45 UTC",Atlas-SLV3A Agena-D | OPS-4258 (Aquacade-3),Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sat Dec 10, 1977 01:18 UTC",Soyuz U | Soyuz 26,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Thu Dec 08, 1977 17:45 UTC",Atlas-E/F MSD | NOSS-2,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Thu Dec 08, 1977 11:00 UTC",Cosmos-3M (11K65M) | Cosmos 965,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Sun Dec 04, 1977 12:00 UTC",Soyuz U | Cosmos 964,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Nov 29, 1977 07:05 UTC",Cosmos-3M (11K65M) | Tsikada n†­3,Failure
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Nov 24, 1977 14:30 UTC",Cosmos-3M (11K65M) | Cosmos 963,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Oct 28, 1977 16:00 UTC",Cosmos-3M (11K65M) | Cosmos 962,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Oct 28, 1977 01:37 UTC",Molniya-M /Block ML | Molniya-3 n†­71,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Wed Oct 26, 1977 05:14 UTC",Tsyklon-2 | Cosmos 961,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Oct 25, 1977 05:25 UTC",Cosmos-3M (11K65M) | Cosmos 960,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Oct 21, 1977 10:05 UTC",Cosmos-3M (11K65M) | Cosmos 959,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Oct 11, 1977 15:14 UTC",Soyuz U | Cosmos 958,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sun Oct 09, 1977 02:40 UTC",Soyuz U | Soyuz 25,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Sep 30, 1977 09:46 UTC",Soyuz U | Cosmos 957,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Sep 30, 1977 01:02 UTC",Atlas-SLV3D Centaur-D1AR | Intelsat 4A F5,Failure
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Sat Sep 24, 1977",Cosmos-3M (11K65M) | Intercosmos-17,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Sat Sep 24, 1977 10:15 UTC",Tsyklon-3 | Cosmos 956,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","Fri Sep 23, 1977 18:34 UTC",Titan III(24)B | OPS 7471,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Sep 22, 1977",Molniya-M /Block SO-L | Prognoz n†­6,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Sep 20, 1977 01:00 UTC",Vostok-2M | Cosmos 955,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Sun Sep 18, 1977 13:48 UTC",Tsyklon-2 | Cosmos 954,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Sep 16, 1977 14:30 UTC",Soyuz U | Cosmos 953,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Fri Sep 16, 1977 14:25 UTC",Tsyklon-2 | Cosmos 952,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Wed Sep 14, 1977 00:15 UTC",Feng Bao 1 | DDDS 1,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Sep 13, 1977 19:59 UTC",Cosmos-3M (11K65M) | Cosmos 951,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Sep 13, 1977 15:10 UTC",Soyuz U | Cosmos 950,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Sep 06, 1977 17:30 UTC",Soyuz U | Cosmos 949,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA","Mon Sep 05, 1977 12:56 UTC",Titan IIIE | Voyager 1,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Sep 02, 1977 09:00 UTC",Soyuz U | Cosmos 948,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Aug 30, 1977 18:06 UTC",Molniya-M /Block ML | Molniya-1 n†­70,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Sat Aug 27, 1977 10:09 UTC",Soyuz U | Cosmos 947,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Aug 24, 1977 18:20 UTC",Cosmos-3M (11K65M) | Cosmos 939 to 946,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Aug 24, 1977 14:29 UTC",Soyuz U | Cosmos 938,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Wed Aug 24, 1977 07:07 UTC",Tsyklon-2 | Cosmos 937,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Aug 20, 1977 14:29 UTC",Titan IIIE | Voyager 2,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Aug 12, 1977 06:29 UTC",Atlas-SLV3D Centaur-D1AR | HEAO-1,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Aug 10, 1977 10:40 UTC",Soyuz U | Zenit-4MKM n†­399,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Aug 03, 1977 14:01 UTC",Soyuz U | Cosmos 936,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Jul 29, 1977 08:00 UTC",Soyuz U | Cosmos 935,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Jul 27, 1977 18:07 UTC",Soyuz U | Cosmos 934,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Jul 22, 1977 10:00 UTC",Cosmos-3M (11K65M) | Cosmos 933,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Jul 20, 1977 07:35 UTC",Soyuz U | Cosmos 932,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Jul 20, 1977 04:44 UTC",Molniya-M /Block 2BL | Cosmos 931,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Jul 19, 1977 08:40 UTC",Cosmos-3M (11K65M) | Cosmos 930,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Jul 13, 1977 05:02 UTC",Cosmos-3M (11K65M) | Cosmos 928,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Jul 12, 1977 09:00 UTC",Soyuz U | Cosmos 927,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Fri Jul 08, 1977 17:30 UTC",Cosmos-3M (11K65M) | Cosmos 926,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Jul 07, 1977 07:25 UTC",Vostok-2M | Cosmos 925,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Mon Jul 04, 1977 22:20 UTC",Cosmos-3M (11K65M) | Cosmos 924,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Jul 01, 1977 11:52 UTC",Cosmos-3M (11K65M) | Cosmos 923,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Jun 30, 1977 14:00 UTC",Soyuz U | Cosmos 922,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Jun 29, 1977 18:34 UTC",Vostok-2M | Meteor-Priroda n†­2,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Mon Jun 27, 1977 18:30 UTC",Titan IIID | KH-9,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Fri Jun 24, 1977 10:30 UTC",Tsyklon-3 | Cosmos 921,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jun 24, 1977 05:41 UTC",Molniya-M /Block ML | Molniya-1 n†­69,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Thu Jun 23, 1977 09:16 UTC",Atlas-E/F SGS-1 | NTS-2,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Jun 22, 1977 08:00 UTC",Soyuz U | Cosmos 920,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","Sat Jun 18, 1977 10:30 UTC",Cosmos-2I (63SM) | Cosmos 919,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Fri Jun 17, 1977 07:23 UTC",Tsyklon-2 | Cosmos 918,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia","Fri Jun 17, 1977 03:30 UTC",Cosmos-3M (11K65M) | Signe 3,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Jun 16, 1977 01:58 UTC",Molniya-M /Block 2BL | Cosmos 917,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Jun 10, 1977 08:00 UTC",Soyuz U | Cosmos 916,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Jun 08, 1977 14:00 UTC",Soyuz U | Cosmos 915,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue May 31, 1977 07:30 UTC",Soyuz U | Cosmos 914,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Mon May 30, 1977 22:30 UTC",Cosmos-3M (11K65M) | Cosmos 913,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu May 26, 1977 21:47 UTC",Atlas-SLV3D Centaur-D1AR | Intelsat 4A F4,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu May 26, 1977 07:00 UTC",Soyuz U | Cosmos 912,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Wed May 25, 1977 11:00 UTC",Cosmos-3M (11K65M) | Cosmos 911,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA","Mon May 23, 1977 18:13 UTC",Atlas-SLV3A Agena-D | AFP-827 (Canyon-7),Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Mon May 23, 1977 12:14 UTC",Tsyklon-2 | Cosmos 910,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Thu May 19, 1977 16:30 UTC",Cosmos-3M (11K65M) | Cosmos 909,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue May 17, 1977 10:10 UTC",Soyuz U | Cosmos 908,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu May 12, 1977 14:27 UTC",Titan III(23)C | DSCS-II 7&8,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu May 05, 1977 14:00 UTC",Soyuz U | Cosmos 907,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Apr 28, 1977 09:10 UTC",Molniya-M /Block ML | Molniya-3 n†­68,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia","Wed Apr 27, 1977",Cosmos-3M (11K65M) | Cosmos 906,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Apr 26, 1977 14:45 UTC",Soyuz U | Cosmos 905,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Apr 20, 1977 09:00 UTC",Soyuz U | Cosmos 904,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Apr 11, 1977 01:38 UTC",Molniya-M /Block 2BL | Cosmos 903,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Apr 07, 1977 08:59 UTC",Soyuz U | Cosmos 902,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Apr 05, 1977 10:30 UTC",Cosmos-2I (63SM) | Cosmos 901,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Tue Apr 05, 1977 02:05 UTC",Vostok-2M | Meteor n†­37,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Mar 29, 1977",Cosmos-3M (11K65M) | Cosmos 900,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Thu Mar 24, 1977 22:11 UTC",Cosmos-3M (11K65M) | Cosmos 899,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Mar 24, 1977 11:51 UTC",Molniya-M /Block ML | Molniya-1 n†­67,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Mar 17, 1977 08:30 UTC",Soyuz U | Cosmos 898,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","Sun Mar 13, 1977 18:41 UTC",Titan III(24)B | OPS 4915,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Mar 10, 1977 11:00 UTC",Soyuz U | Cosmos 897,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Mar 03, 1977 10:30 UTC",Soyuz U | Cosmos 896,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Sat Feb 26, 1977 21:18 UTC",Vostok-2M | Cosmos 895,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Wed Feb 23, 1977 08:50 UTC",N-I Star-37E | Kiku 2,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Feb 22, 1977 09:19 UTC",Soyuz U | Zenit-4MK n†­381,Failure
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Mon Feb 21, 1977 17:20 UTC",Cosmos-3M (11K65M) | Cosmos 894,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan","Sat Feb 19, 1977 05:15 UTC",Mu-III H | Tansei 3,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Feb 15, 1977",Cosmos-3M (11K65M) | Cosmos 893,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Feb 11, 1977 14:57 UTC",Molniya-M /Block ML | Molniya-2 n†­66,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Feb 09, 1977 11:30 UTC",Soyuz U | Cosmos 892,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Mon Feb 07, 1977 16:11 UTC",Soyuz U | Soyuz 24,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Feb 06, 1977 06:00 UTC",Titan III(23)C | DSP-7,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Wed Feb 02, 1977 12:30 UTC",Cosmos-3M (11K65M) | Cosmos 891,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Jan 20, 1977 20:05 UTC",Cosmos-3M (11K65M) | Cosmos 890,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jan 20, 1977 08:30 UTC",Soyuz U | Cosmos 889,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Jan 06, 1977 23:17 UTC",Vostok-2M | Meteor-2 n†­2,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jan 06, 1977 09:40 UTC",Soyuz U | Cosmos 888,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Dec 28, 1976 07:49 UTC",Cosmos-3M (11K65M) | Cosmos 887,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Dec 28, 1976 06:38 UTC",Molniya-M /Block ML | Molniya-3 n†­65,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan","Mon Dec 27, 1976 12:05 UTC",Tsyklon-2 | Cosmos 886,Success
